PID,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45
1004934,4,3,5,4,3,4,3,3,4,4,3,3,4,4,6,3,2,1,3,3,3,3,7,4,6,7,6,5,4,5,6,5,6,4,6,5,4,5,2,5,4,4,5,5,5
1406297,3,1,4,5,3,4,5,4,2,2,3,7,7,6,7,5,5,4,5,5,6,5,6,5,4,4,4,3,3,3,4,2,2,1,4,5,5,2,3,5,7,3,6,6,6
382694,3,3,6,6,3,6,4,6,2,2,2,5,5,5,5,5,6,7,5,5,5,5,5,5,3,1,3,1,1,1,2,5,3,4,2,7,3,6,2,6,7,2,7,4,4
424701,3,3,6,6,4,4,5,4,4,4,4,7,7,7,7,6,5,4,5,2,3,5,3,4,6,5,5,6,6,6,3,1,2,4,3,5,5,5,4,5,4,3,5,4,5
389600,5,4,6,7,4,5,5,3,4,4,5,4,4,4,5,2,3,3,5,3,2,5,1,3,7,7,7,5,5,5,6,6,4,6,6,4,5,4,6,6,4,4,5,4,4
1440402,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,2,7,3,3,5,5,3,3,3,3,3,5
1271340,4,5,2,6,2,3,4,6,3,3,5,2,4,3,5,4,2,3,5,1,3,6,5,4,3,5,2,4,7,2,5,6,5,4,3,3,3,6,5,7,7,1,2,5,3
233992,3,3,4,4,3,3,3,3,3,3,3,1,2,2,4,2,3,3,2,3,4,4,2,2,6,6,6,6,7,7,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4
1100630,3,3,4,5,3,3,5,3,3,3,3,6,6,6,6,6,5,5,5,5,5,5,5,5,3,3,2,1,2,3,3,6,4,4,2,7,5,1,6,4,5,1,4,4,4
1212952,1,2,3,6,3,3,2,3,2,2,4,5,5,4,5,4,4,4,6,6,5,6,6,5,3,5,3,4,4,5,4,4,4,3,5,5,5,5,4,7,4,4,7,6,5
943802,3,3,3,4,4,3,3,4,4,3,4,4,4,4,6,4,6,4,4,3,6,5,6,6,4,3,2,5,6,5,2,7,4,7,7,5,5,5,5,5,5,5,1,5,5
1056086,2,1,3,6,3,2,6,2,2,1,2,5,4,4,5,6,6,5,6,7,6,7,7,7,1,2,2,5,3,5,5,6,4,5,5,5,4,5,5,1,4,4,5,4,3
374108,4,4,7,7,3,3,1,4,2,3,4,6,6,4,5,4,1,1,5,2,5,4,2,5,6,6,3,4,5,5,4,3,4,1,6,7,7,6,5,5,4,5,5,5,5
1271031,1,2,4,7,1,2,4,3,1,2,3,5,6,5,5,6,4,4,6,4,7,5,5,5,1,2,3,4,4,4,7,5,5,5,7,6,4,4,5,6,5,3,5,6,6
1312634,4,4,5,7,3,4,3,4,1,1,2,6,6,6,6,6,7,4,4,5,6,5,6,5,5,4,5,4,4,4,2,2,4,2,7,2,5,5,3,5,5,2,3,5,5
630238,5,6,6,5,5,5,5,5,5,5,5,6,6,3,3,4,5,5,3,2,7,3,7,7,5,4,3,4,4,4,3,6,6,4,6,4,4,4,1,3,4,2,7,4,4
1210965,4,4,5,5,4,4,5,4,4,4,4,6,6,6,6,6,3,4,5,5,5,4,5,4,7,7,5,4,4,4,1,3,2,2,7,5,3,7,6,6,5,5,3,3,5
956903,5,1,6,7,1,2,4,5,1,2,4,6,7,5,5,5,5,5,4,3,4,4,5,6,1,2,2,4,4,4,3,4,4,3,3,6,5,4,3,2,5,4,4,5,5
192398,5,3,3,5,4,5,4,5,4,5,3,3,2,2,4,5,4,4,2,5,2,5,4,3,3,4,5,5,6,5,6,1,6,3,7,3,5,6,2,6,3,4,4,4,4
1351293,5,5,3,4,6,4,4,5,7,6,5,6,4,4,3,7,1,2,2,3,3,4,4,4,7,6,7,6,6,3,3,4,3,5,3,4,5,5,4,3,4,6,5,5,3
289960,5,3,5,3,6,4,6,4,4,6,4,3,3,4,3,3,4,5,1,2,2,4,6,2,5,7,3,6,4,6,5,5,5,4,5,5,3,3,3,5,4,3,6,5,7
287261,3,4,5,5,4,4,4,3,5,4,4,5,5,5,6,4,2,2,6,2,4,6,6,6,7,7,6,3,4,4,5,5,6,1,7,5,5,5,4,4,3,4,5,2,7
1106832,5,5,3,4,5,3,5,3,3,5,5,3,5,4,4,5,4,4,3,3,6,3,7,6,5,4,1,6,3,6,7,5,6,5,7,3,4,6,3,6,2,3,2,4,5
443044,4,1,4,6,3,5,7,5,2,3,2,3,4,5,7,4,4,5,3,2,6,4,4,3,3,2,5,5,5,6,6,1,5,3,4,4,6,3,4,3,5,3,2,6,3
265278,3,2,2,4,3,3,3,1,3,4,3,5,6,5,4,4,5,5,6,5,6,6,7,5,4,3,5,3,4,3,5,5,4,3,4,5,4,6,2,2,4,4,4,3,5
1435724,2,4,4,4,3,3,3,4,3,3,4,5,4,4,5,2,2,1,4,4,3,3,5,4,5,6,6,5,3,4,5,2,5,5,6,6,5,5,7,7,4,5,6,4,3
1441026,2,2,3,3,2,4,4,2,4,4,3,3,7,4,2,5,1,4,2,3,1,1,3,3,4,6,6,7,5,5,5,6,6,5,6,4,3,5,5,7,5,5,7,1,6
341673,7,5,7,3,4,5,4,5,6,1,3,5,4,1,4,5,5,3,3,4,5,2,6,6,2,3,3,6,4,6,5,3,4,2,4,5,7,2,4,6,3,4,4,4,3
78923,4,3,6,4,2,4,3,4,4,3,3,7,4,4,4,6,4,4,5,2,5,6,5,1,6,5,5,5,4,5,6,5,3,5,6,4,5,4,7,6,5,4,5,7,7
1191071,2,2,1,4,1,2,3,1,3,2,2,6,7,7,6,6,6,6,5,3,5,5,5,4,7,5,2,3,5,5,6,5,6,2,7,4,5,4,4,5,4,4,4,5,5
327695,4,5,6,6,4,4,4,5,6,4,4,4,3,3,2,3,3,1,5,4,6,5,5,5,6,6,7,3,7,7,5,5,5,5,5,2,4,4,4,4,7,4,4,6,5
528805,4,3,5,4,5,4,5,5,5,4,5,6,5,4,6,4,5,4,4,4,7,6,7,7,4,2,2,3,2,4,4,5,4,3,6,6,6,4,5,5,6,3,5,1,7
1447453,6,4,2,6,6,5,5,2,5,4,4,3,7,4,5,3,5,4,4,5,6,3,3,4,6,6,6,1,1,1,5,5,5,3,3,2,5,5,4,3,1,2,5,2,3
1135187,2,3,6,7,3,4,6,2,2,3,3,5,5,5,5,5,5,5,4,3,4,4,4,5,1,2,3,2,2,3,5,4,4,4,5,3,4,4,2,3,4,3,4,4,4
818409,2,3,5,7,3,2,5,1,3,2,3,6,6,5,6,5,5,5,5,6,5,6,5,5,7,6,6,5,4,4,3,3,5,3,4,4,4,4,7,4,7,4,4,3,4
920195,4,3,4,6,3,3,3,3,4,3,3,6,5,6,4,6,4,1,3,2,4,6,5,5,4,4,4,5,4,6,4,5,5,2,5,6,5,5,5,5,4,4,7,4,5
128379,4,3,3,5,4,4,4,4,4,3,3,4,4,4,4,2,4,3,3,2,3,5,5,4,6,6,5,5,4,6,6,7,7,4,7,5,5,6,5,6,5,1,6,5,2
1273293,3,2,5,7,3,1,2,2,3,1,3,7,5,4,6,5,4,4,4,4,6,7,5,7,3,3,1,5,4,5,4,3,6,5,6,6,5,5,5,4,6,3,5,5,6
165497,3,3,3,3,4,3,3,3,3,3,2,5,5,5,5,1,2,4,4,2,5,6,6,6,4,4,4,5,4,4,5,4,5,4,5,5,5,6,5,6,4,4,6,6,7
1018627,1,3,4,6,4,3,3,1,2,3,2,6,6,6,5,6,4,2,5,4,5,6,7,7,3,4,3,1,1,2,5,6,2,4,4,5,5,7,5,5,5,4,5,4,7
1098823,4,4,3,5,4,3,1,4,4,1,4,4,4,1,6,3,2,2,3,2,4,1,4,5,4,5,6,6,3,5,5,5,4,3,4,2,6,6,7,5,4,3,6,6,7
916133,5,4,6,7,5,4,4,3,5,6,4,5,5,5,5,3,3,4,3,2,1,4,4,4,5,4,2,3,4,4,6,5,6,5,7,4,7,6,5,6,4,5,7,2,6
794510,5,6,5,5,5,4,5,4,3,4,5,5,6,4,6,5,3,3,7,4,4,7,4,7,1,1,1,2,1,2,6,6,5,6,5,4,4,4,4,4,5,6,4,4,5
190186,6,5,5,4,5,5,6,5,4,3,4,6,6,6,3,6,6,4,1,7,4,7,4,7,2,2,4,1,1,4,4,3,4,4,3,4,4,5,4,5,5,5,5,5,5
1435717,2,2,5,5,3,3,2,3,4,3,3,3,1,2,2,3,4,3,5,2,5,6,6,5,4,3,5,4,4,5,6,4,5,4,6,5,5,7,7,6,4,6,7,3,4
728769,4,5,6,3,5,3,6,3,4,3,6,6,7,6,6,6,5,5,4,4,4,4,4,4,3,3,3,5,4,5,4,4,4,4,4,2,5,5,2,1,5,2,5,5,5
1109853,4,4,6,5,4,4,4,4,4,5,4,5,5,4,5,4,5,5,3,2,6,5,7,2,3,4,3,4,4,7,7,1,7,6,5,4,3,3,6,6,3,5,6,3,3
1371979,3,2,4,4,2,3,3,3,4,4,3,4,5,2,5,3,3,3,4,3,3,2,2,1,7,6,6,4,4,5,5,4,5,4,5,5,6,7,5,6,4,4,5,3,6
1016405,4,2,5,5,4,4,2,4,4,4,2,2,3,3,1,2,2,5,3,4,4,4,4,3,6,6,6,5,4,5,6,6,6,5,5,7,5,7,5,5,7,4,5,2,6
1399281,5,1,7,7,4,4,2,7,4,1,2,6,5,6,5,5,7,4,5,5,5,5,5,5,1,1,2,4,4,4,6,6,6,6,6,5,4,4,5,3,4,3,4,4,4
719842,3,3,6,7,4,1,4,3,3,2,6,4,6,2,1,5,3,4,4,3,2,5,3,4,7,6,1,3,2,3,3,5,4,7,6,4,4,4,5,5,4,5,3,5,4
1117323,5,4,4,6,5,4,4,4,5,5,3,5,5,2,5,3,4,2,3,3,4,5,4,3,7,7,4,6,1,6,4,6,4,6,4,6,5,5,5,7,6,4,7,3,5
1387567,2,3,6,7,3,1,3,2,3,2,3,4,4,4,4,3,3,2,3,2,1,5,3,5,6,7,6,5,4,6,6,5,5,4,7,5,5,7,6,5,5,4,5,1,5
1011980,1,4,5,7,5,2,5,5,4,4,4,7,7,6,7,6,6,6,5,2,6,6,5,5,3,4,2,3,4,4,6,4,2,4,4,3,4,3,4,5,5,4,5,5,5
1388611,4,3,4,4,4,5,4,5,4,6,4,2,2,3,3,1,2,1,2,1,2,5,4,2,4,4,4,5,5,4,5,6,5,6,7,5,5,7,4,5,4,5,5,3,2
1355310,2,3,4,3,3,3,4,4,4,3,2,6,7,7,5,6,1,1,5,2,5,6,5,4,5,6,3,5,7,6,4,3,6,4,5,3,5,6,5,5,4,4,5,5,4
796573,4,4,5,4,4,4,3,4,1,2,5,5,5,3,3,2,3,5,4,3,4,4,5,5,7,7,6,6,2,6,4,6,6,4,7,5,3,7,6,6,4,4,4,5,5
1032124,4,2,6,5,3,4,3,3,3,4,3,5,5,5,3,2,3,3,2,1,2,4,3,2,6,6,6,4,3,6,6,7,7,4,7,4,4,5,7,5,5,4,5,2,4
1083828,5,5,6,7,6,4,5,4,5,4,5,4,5,4,5,4,5,4,2,4,3,5,1,4,7,6,6,6,4,4,6,5,5,6,5,3,3,4,7,4,2,3,4,7,3
895651,4,2,4,2,1,4,3,4,1,4,4,7,6,6,6,6,5,5,7,5,4,7,5,7,6,5,5,3,4,4,2,3,5,4,5,4,6,4,5,6,3,5,5,4,5
1019334,3,1,4,5,2,2,4,3,1,1,2,5,4,4,6,4,4,2,3,4,5,4,5,5,7,7,7,3,3,4,4,4,6,4,1,7,6,6,6,6,5,5,5,5,6
1234496,4,4,1,4,4,3,4,5,4,4,4,5,6,3,5,4,5,5,4,2,5,5,4,2,5,5,5,6,4,6,3,7,3,3,7,7,6,6,5,7,6,4,6,5,4
1325049,1,3,5,6,1,4,4,3,2,2,2,6,6,4,6,6,7,5,6,5,5,6,7,5,4,5,2,2,1,4,3,5,3,4,5,7,5,4,3,5,5,4,7,4,3
357577,5,4,7,6,4,5,4,4,5,4,5,6,4,4,5,5,2,1,4,3,2,4,5,3,7,6,5,4,4,5,6,6,5,6,6,3,3,7,7,5,5,3,4,4,4
432403,3,4,5,5,4,3,3,4,4,3,4,3,4,4,2,3,4,4,3,6,5,1,4,6,3,3,4,3,3,4,5,5,7,5,7,4,7,5,5,2,2,5,7,5,5
1321654,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,2,3,3,1,1,1,4,3,3,3,3,2,1,5,2,5,7,2,7,7,5
144293,4,4,4,7,4,4,3,7,4,6,5,3,5,3,7,3,4,3,5,3,4,5,5,3,2,1,5,2,5,5,6,4,6,4,6,4,6,6,4,4,5,4,6,5,7
1083433,4,4,7,5,4,3,3,3,4,3,4,4,4,5,4,4,4,4,1,1,3,2,5,2,6,6,5,5,4,5,6,5,6,5,6,7,5,5,6,6,5,5,4,7,7
1138962,2,4,5,6,1,2,4,3,3,3,3,7,6,5,5,6,5,5,5,4,5,5,7,5,2,3,3,3,1,4,4,3,4,4,4,6,5,4,4,2,6,2,6,7,6
393751,2,1,4,4,3,3,3,2,2,2,3,6,4,4,5,6,5,5,7,5,5,7,7,7,4,4,4,4,4,5,5,5,5,3,6,5,4,5,3,6,6,3,6,6,5
1398238,1,6,7,2,6,1,3,3,3,1,6,2,7,6,1,3,7,3,4,4,4,4,4,4,3,5,2,3,5,5,5,3,7,5,5,4,3,3,4,4,3,4,4,3,4
1129718,1,4,6,3,2,3,2,4,4,4,3,4,4,4,4,5,4,4,7,5,5,5,6,3,7,3,5,5,4,4,6,5,6,5,6,3,6,7,5,7,5,4,6,5,5
206627,4,5,4,2,6,5,4,4,2,7,5,4,4,5,4,4,1,1,5,3,3,3,5,6,6,3,3,4,5,4,6,2,6,6,5,3,1,5,3,3,5,3,3,3,3
1377161,6,6,3,6,4,6,4,5,4,6,3,5,5,4,4,5,4,4,2,1,7,6,6,3,5,5,5,4,3,4,4,4,4,4,4,7,5,5,5,5,5,3,7,7,2
923145,3,3,5,4,3,3,4,4,4,3,3,3,3,2,3,1,4,4,4,2,3,4,4,4,6,6,6,5,3,5,5,4,5,5,7,6,7,6,4,6,6,5,7,4,4
280435,2,2,6,6,3,1,2,2,6,1,5,4,6,2,4,5,3,3,4,2,4,7,4,4,4,5,5,4,2,5,5,3,4,4,5,5,6,5,5,6,6,5,5,7,7
357920,2,2,4,6,2,2,3,1,2,2,1,7,6,5,6,5,4,4,6,5,5,6,6,5,4,4,3,1,2,4,5,5,3,3,4,5,5,5,5,6,4,3,7,7,5
1417036,1,3,2,3,5,2,6,3,4,3,4,6,4,4,4,5,6,5,4,1,3,2,4,2,5,4,4,5,7,6,3,2,5,2,7,1,5,4,5,6,3,3,6,5,7
661215,5,4,6,6,5,4,3,3,4,4,4,4,6,4,5,1,3,3,5,4,4,5,2,5,5,5,5,6,4,7,5,7,7,3,7,2,4,5,6,5,6,3,6,2,4
322088,4,1,1,7,4,3,4,3,4,2,2,6,6,4,5,3,7,4,4,5,5,5,6,5,6,5,2,7,5,6,7,5,5,6,6,4,4,4,4,4,5,2,5,4,5
452448,2,2,4,7,1,1,2,2,1,2,3,5,5,4,5,5,7,5,4,6,5,5,6,6,3,2,3,5,5,6,6,5,6,5,5,6,2,3,7,3,3,4,4,4,4
219929,4,5,5,5,4,4,6,4,6,4,2,6,2,4,2,5,3,5,4,5,5,6,6,5,6,3,5,3,7,1,2,2,4,3,6,5,4,3,3,4,5,3,4,5,4
709569,3,3,5,4,4,5,3,4,5,3,5,1,5,1,1,1,6,5,2,2,2,2,2,2,3,3,3,5,5,6,4,7,4,5,6,3,5,3,6,4,4,2,4,4,4
939939,4,2,3,2,3,1,2,3,4,5,3,5,4,4,4,4,3,4,3,3,4,4,4,4,6,6,5,5,5,7,3,3,3,3,3,5,5,6,5,6,5,5,5,5,4
1305292,3,5,3,3,5,3,5,4,3,4,5,2,3,3,3,3,5,5,2,5,4,5,5,2,6,2,6,4,4,4,3,2,6,5,5,4,4,6,1,4,4,4,4,4,7
1268740,3,6,6,1,6,1,3,1,2,5,3,2,6,3,2,7,5,5,1,4,4,2,3,2,7,4,4,4,4,6,2,2,3,6,3,6,5,3,3,3,7,7,5,5,5
677319,3,3,1,5,3,2,3,3,3,2,5,6,7,6,6,5,5,5,4,2,2,6,7,2,4,5,4,3,3,5,5,5,6,3,4,6,7,7,5,2,6,5,5,2,3
836402,6,6,2,6,2,2,7,4,6,6,3,4,4,4,4,5,3,3,5,4,4,6,2,5,5,5,5,2,4,1,6,5,2,4,2,5,4,5,5,4,5,4,4,4,5
1426213,4,3,5,7,1,3,4,2,1,1,2,6,5,5,6,4,5,6,4,3,5,4,6,5,1,2,2,3,2,5,7,5,5,4,7,4,6,5,3,6,5,4,7,5,6
522142,3,4,5,5,4,4,4,4,4,4,4,5,5,3,4,4,3,2,1,3,4,5,5,4,6,6,6,5,3,6,7,7,5,6,7,5,5,6,3,5,3,2,6,3,5
505341,2,1,1,6,2,2,3,1,2,2,3,7,6,4,5,3,5,1,4,4,5,7,6,5,4,5,5,4,4,3,6,5,5,5,5,7,7,6,3,3,6,3,6,5,3
1072259,1,2,4,6,2,2,3,3,2,3,2,4,5,4,5,4,4,4,4,4,4,4,5,5,4,5,6,6,4,5,5,5,6,5,7,7,6,6,6,7,5,4,5,5,7
1042076,4,2,6,5,3,3,2,6,5,3,4,3,3,2,4,1,2,3,4,1,4,2,7,5,5,5,4,6,4,5,5,1,5,3,6,5,6,7,4,6,7,2,7,5,6
1202794,4,3,3,5,4,5,3,4,4,4,4,4,3,2,3,2,3,2,4,2,1,5,4,3,7,7,7,6,5,6,5,5,5,5,5,5,6,6,6,6,4,5,6,3,5
797059,1,5,5,5,2,2,5,4,2,5,4,4,1,6,2,6,4,3,2,3,3,3,3,4,7,7,7,6,6,7,4,5,5,6,6,5,5,4,6,2,2,5,5,4,5
762282,3,5,5,3,2,5,5,5,3,4,3,3,6,4,5,2,5,5,4,4,7,4,4,7,3,3,4,1,1,3,7,2,3,7,6,6,5,5,5,2,6,6,6,5,6
1447817,6,7,3,6,6,6,7,2,5,6,3,5,5,5,5,5,6,6,4,3,4,4,4,4,3,3,3,2,2,1,2,2,4,3,5,2,7,4,1,7,1,1,4,4,2
1440637,3,3,6,5,4,4,4,4,5,4,4,3,5,3,4,3,5,3,3,3,1,4,3,4,5,4,4,4,3,4,6,6,6,4,6,5,5,6,6,5,7,2,5,2,2
1120736,4,4,6,3,4,4,4,4,5,5,3,6,3,5,5,5,2,2,4,2,5,7,7,4,7,6,4,4,4,6,5,5,5,4,6,3,7,5,5,6,6,4,5,3,1
252386,6,7,4,5,5,5,6,3,5,6,5,1,1,1,2,2,3,3,4,3,3,2,1,2,4,4,4,2,2,2,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4
589533,6,3,5,3,5,3,5,5,6,7,5,3,5,5,6,3,6,2,3,6,5,6,6,7,3,4,3,4,3,3,4,1,2,3,2,4,4,4,4,5,3,4,4,4,4
489685,4,4,5,4,4,4,5,5,4,4,5,4,6,3,6,3,5,5,2,4,5,5,5,4,2,3,1,6,3,7,6,7,7,6,7,3,4,6,4,5,4,4,6,5,5
1359546,4,4,5,2,2,2,4,3,1,4,3,6,7,5,5,3,5,3,2,2,4,5,7,6,6,5,5,3,3,3,4,6,5,1,7,4,5,5,5,6,7,4,5,6,6
1251814,4,1,4,5,3,2,4,2,5,2,3,5,4,4,4,3,4,2,4,2,4,5,4,5,7,6,3,3,4,6,5,6,6,3,7,6,6,5,7,5,6,5,5,3,5
789,3,4,2,4,2,1,2,2,2,1,3,6,2,1,5,2,4,3,4,3,5,3,5,3,5,4,4,6,1,6,6,6,6,3,7,5,7,7,4,6,4,5,5,4,4
1288246,4,4,2,3,4,4,3,3,4,5,3,5,5,6,5,5,5,4,6,4,6,7,4,6,5,6,4,5,6,5,6,5,4,2,7,4,5,4,4,7,3,1,5,4,7
464104,4,5,2,5,2,1,3,2,3,4,5,5,2,2,4,4,5,4,4,1,2,4,4,3,6,5,3,3,3,5,6,5,5,4,5,6,6,7,7,6,2,1,7,6,6
518074,3,6,7,5,2,3,6,6,6,6,5,3,4,3,2,4,4,4,3,5,1,2,1,1,3,3,4,6,3,2,4,4,4,4,2,3,4,2,4,7,5,4,3,5,7
1044871,5,4,5,4,6,6,6,6,4,5,6,4,5,5,6,5,1,4,4,3,5,3,2,3,3,3,2,7,6,5,3,1,4,3,5,3,4,4,4,5,4,4,4,5,5
546441,4,2,7,7,4,4,6,4,3,4,2,5,5,2,7,1,6,3,2,1,2,6,6,6,3,4,4,6,3,5,5,6,4,5,3,3,7,5,5,4,4,5,4,5,5
1425223,4,3,6,6,4,3,5,4,3,3,4,6,6,4,6,6,4,5,5,5,5,5,5,5,1,2,1,4,4,4,3,4,3,4,5,5,5,4,4,4,7,2,7,7,6
579590,3,3,4,5,4,4,4,3,4,4,2,5,4,4,5,3,2,1,3,3,3,5,5,5,6,5,5,4,4,4,4,3,5,4,4,7,6,7,7,6,7,6,6,6,6
1379841,3,4,3,5,5,4,3,6,5,5,5,4,4,2,5,5,4,5,4,4,4,4,6,4,7,7,7,2,2,5,4,5,6,1,5,6,3,4,6,7,6,4,4,6,5
1233860,5,4,2,5,4,7,4,4,4,4,4,4,1,2,4,1,5,5,3,3,3,5,3,2,5,5,5,3,2,6,4,6,6,2,7,6,6,7,5,6,5,4,7,6,4
1392303,3,3,6,5,3,3,4,3,3,4,3,5,5,4,5,5,5,4,3,2,6,5,6,6,5,5,4,4,5,5,5,4,4,3,7,4,7,3,6,4,4,4,1,2,4
1110916,2,2,4,4,7,3,4,3,4,4,3,5,4,4,5,5,4,4,6,3,6,4,4,4,5,5,5,5,5,7,7,5,6,5,6,6,4,5,4,7,2,1,6,5,6
399647,3,3,4,3,3,5,5,4,1,2,3,7,4,7,4,7,6,4,5,5,3,6,2,4,5,1,1,3,2,4,5,3,4,2,4,6,4,6,5,1,6,6,5,7,3
1370253,4,4,4,4,5,3,3,3,5,4,1,4,5,3,5,4,3,4,3,2,2,3,6,2,7,5,5,4,3,3,5,4,5,5,4,7,7,5,6,3,5,3,3,6,7
1367835,4,4,4,6,5,4,7,3,6,1,3,5,3,6,5,2,3,4,4,5,5,6,4,3,5,5,2,5,4,5,4,3,5,4,6,3,2,4,5,3,5,3,3,3,3
192268,3,4,4,4,3,2,6,5,6,3,6,3,1,7,5,4,5,3,4,5,5,6,3,3,4,5,3,5,5,3,4,3,4,6,5,2,4,5,4,3,5,4,5,4,3
489651,2,1,2,2,2,3,2,2,1,3,1,5,6,5,5,4,6,5,6,5,4,6,4,6,4,4,5,5,5,4,4,4,1,4,2,4,3,4,3,7,4,4,5,3,6
425316,4,3,5,5,4,4,4,3,4,3,4,4,4,5,2,5,2,1,3,3,4,4,4,4,6,5,3,5,4,5,5,5,5,4,7,6,6,7,5,7,6,6,7,6,6
96386,6,6,6,4,6,2,4,4,5,4,3,4,3,3,4,1,4,2,5,6,4,4,5,3,5,5,5,7,4,3,6,6,5,4,5,7,3,3,4,3,5,4,5,5,3
901442,2,1,5,6,2,3,3,3,2,3,3,6,7,5,6,5,4,3,6,3,4,7,6,7,2,4,2,4,4,4,4,2,6,5,4,5,6,1,4,5,5,2,5,5,5
1276126,3,1,2,7,3,3,3,3,2,3,2,5,5,4,5,4,4,4,4,4,4,4,4,4,3,4,2,7,4,7,2,4,2,3,2,5,5,6,6,6,5,4,6,5,7
95811,4,3,3,5,3,5,4,3,4,4,5,5,4,1,5,2,2,3,6,2,2,4,5,5,6,6,4,6,5,7,7,5,6,4,7,6,4,6,4,4,5,4,5,7,5
261813,5,5,6,7,7,5,6,6,6,7,5,1,1,2,1,2,4,4,2,4,3,4,4,4,7,5,4,4,1,4,3,4,4,2,4,5,5,5,5,5,5,6,6,5,6
884360,6,4,6,2,2,5,4,3,4,4,5,6,4,4,6,4,4,3,4,5,7,7,7,6,7,4,4,5,4,6,1,1,5,5,4,2,3,5,5,5,5,3,5,5,3
148783,4,4,3,5,4,3,3,2,4,1,5,5,3,4,6,3,5,2,6,4,4,7,6,5,3,3,3,5,4,6,4,5,5,4,6,5,5,5,5,7,7,4,7,6,6
992877,3,3,2,5,4,2,2,4,4,3,3,5,5,3,6,3,3,1,5,4,3,4,3,3,7,7,6,6,3,5,5,6,6,4,6,5,5,6,5,7,5,4,5,2,5
288901,5,5,7,6,4,3,4,3,5,5,4,6,6,6,4,5,2,4,4,4,5,3,4,4,2,3,3,2,3,3,3,3,4,4,4,1,4,1,3,1,2,1,3,4,3
